DEPTH,Shale,Dolomite,Limestone,Primary Porosity,Secondary Porosity,Facie C
4291.8204,0,0.818904,0.139524,0.009648,0.031923,10
4291.9728,0,0.840823,0.10965,0.011507,0.03802,10
4292.1252,0,0.811339,0.133185,0.012918,0.042558,10
4292.2776,0,0.74822,0.185038,0.012353,0.054389,9
4292.43,0,0.60617,0.325522,0.012339,0.055969,9
4292.5824,0.000014,0.611716,0.317384,0.010592,0.060293,9
4292.7348,0,0.471918,0.457735,0.010942,0.059405,7
4292.8872,0.000429,0.452225,0.480496,0.010066,0.056784,7
4293.0396,0.000521,0.411428,0.52722,0.007078,0.053753,7
4293.192,0,0.401578,0.53721,0.007561,0.05365,7
4293.3444,0,0.40126,0.534495,0.008009,0.056236,7
4293.4968,0,0.403781,0.527348,0.007431,0.06144,7
4293.6492,0,0.401919,0.524916,0.007396,0.065769,7
4293.8016,0,0.365974,0.560861,0.007396,0.065769,7
4293.954,0,0.399898,0.526937,0.007396,0.065769,7
4294.1064,0,0.427354,0.501687,0.007414,0.063545,7
4294.2588,0,0.427354,0.501687,0.007414,0.063545,7
4294.4112,0.000283,0.48134,0.447223,0.007627,0.063527,7
4294.5636,0.000039,0.484076,0.470578,0.016332,0.028974,8
4294.716,0.000013,0.419446,0.545124,0.013587,0.02183,8
4294.8684,0,0.507785,0.461357,0.014196,0.016662,10
4295.0208,0,0.58109,0.391843,0.013916,0.013151,10
4295.1732,0,0.586351,0.389247,0.010837,0.013566,10
4295.3256,0,0.622915,0.353343,0.010395,0.013346,10
4295.478,0,0.612512,0.368104,0.007848,0.011537,10
4295.6304,0,0.6207,0.362167,0.007141,0.009992,10
4295.7828,0,0.634484,0.354124,0.007194,0.004198,10
4295.9352,0,0.651339,0.339864,0.00778,0.001017,10
4296.0876,0,0.681316,0.309748,0.007457,0.001479,10
4296.24,0,0.762949,0.228106,0.00769,0.001256,10
4296.3924,0,0.8425,0.148557,0.007644,0.001298,10
4296.5448,0,0.874034,0.116161,0.007638,0.002167,10
4296.6972,0,0.874034,0.116161,0.007638,0.002167,10
4296.8496,0.000008,0.888023,0.103042,0.007432,0.001495,10
4297.002,0,0.912711,0.076377,0.007633,0.003279,10
4297.1544,0,0.929761,0.057522,0.008083,0.004634,10
4297.3068,0,0.927073,0.058466,0.00815,0.006311,10
4297.4592,0,0.901716,0.079273,0.007397,0.011614,10
4297.6116,0,0.910389,0.070399,0.007598,0.011614,10
4297.764,0,0.910177,0.07039,0.007762,0.01167,10
4297.9164,0,0.908384,0.070252,0.009694,0.01167,10
4298.0688,0,0.905137,0.078614,0.009273,0.006977,10
4298.2212,0,0.918527,0.063065,0.009245,0.009164,10
4298.3736,0,0.91201,0.066391,0.010559,0.011039,10
