Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1049.4,0.0498,0.0062,1,0.5909
P1,1049.5,0.0737,0.02,1,0.5512
P1,1049.6,0.0529,0.0074,1,0.5854
P1,1049.7,0.0247,0.0008,1,0.6456
P1,1049.8,0.0035,0,1,0.7569
P1,1049.9,0.0002,0,1,0.8784
P1,1050,0.0001,0,1,1
P1,1050.1,0.0001,0,1,1
P1,1050.2,0.0001,0,1,1
P1,1050.3,0.0001,0,1,1
P1,1050.4,0.0001,0,1,1
P1,1050.5,0.0001,0,1,1
P1,1050.6,0.0001,0,1,1
P1,1050.7,0.0002,0,1,0.8689
P1,1050.8,0.0003,0,1,0.8606
P1,1050.9,0.0001,0,1,0.9065
P1,1051,0.0001,0,1,1
P1,1051.1,0.0001,0,1,0.9539
P1,1051.2,0.0094,0,1,0.7059
P1,1051.3,0.0001,0,1,0.8966
P1,1051.4,0.0001,0,1,0.9162
P1,1051.5,0.0036,0,1,0.7561
P1,1051.6,0.0481,0.0056,1,0.594
P1,1051.7,0.0913,0.0615,0.7863,0.4571
P1,1051.8,0.1046,0.0619,0.9618,0.3585
P1,1051.9,0.1129,0.072,1,0.2798
P1,1052,0.112,0.0752,0.9667,0.2419
P1,1052.1,0.1142,0.1136,0.8101,0.1941
P1,1052.2,0.1178,0.2152,0.6161,0.151
P1,1052.3,0.1304,0.295,0.6129,0.0836
P1,1052.4,0.1394,0.2262,0.7741,0.0606
P1,1052.5,0.1407,0.156,0.9449,0.106
P1,1052.6,0.1298,0.1093,1,0.2315
